id,districtId,name,slug
1,1,เกาะกลาง,เกาะกลาง
2,1,เกาะลันตาน้อย,เกาะลันตาน้อย
3,1,เกาะลันตาใหญ่,เกาะลันตาใหญ่
4,1,คลองยาง,คลองยาง
5,1,ศาลาด่าน,ศาลาด่าน
6,2,เขาดิน,เขาดิน
7,2,เขาพนม,เขาพนม
8,2,โคกหาร,โคกหาร
9,2,พรุเตียว,พรุเตียว
10,2,สินปุน,สินปุน
11,2,หน้าเขา,หน้าเขา
12,3,คลองท่อมใต้,คลองท่อมใต้
13,3,คลองท่อมเหนือ,คลองท่อมเหนือ
14,3,คลองพน,คลองพน
15,3,ทรายขาว,ทรายขาว
16,3,พรุดินนา,พรุดินนา
17,3,เพหลา,เพหลา
18,3,ห้วยน้ำขาว,ห้วยน้ำขาว
19,4,เขาเขน,เขาเขน
20,4,เขาต่อ,เขาต่อ
21,4,คีรีวง,คีรีวง
22,4,ปลายพระยา,ปลายพระยา
23,5,กระบี่น้อย,กระบี่น้อย
24,5,กระบี่ใหญ่,กระบี่ใหญ่
25,5,เขาคราม,เขาคราม
26,5,เขาทอง,เขาทอง
27,5,คลองประสงค์,คลองประสงค์
28,5,ทับปริก,ทับปริก
29,5,ปากน้ำ,ปากน้ำ
30,5,ไสไทย,ไสไทย
31,5,หนองทะเล,หนองทะเล
32,5,อ่าวนาง,อ่าวนาง
33,6,ดินแดง,ดินแดง
34,6,ดินอุดม,ดินอุดม
35,6,ทุ่งไทรทอง,ทุ่งไทรทอง
36,6,ลำทับ,ลำทับ
37,7,เกาะศรีบอยา,เกาะศรีบอยา
38,7,คลองขนาน,คลองขนาน
39,7,คลองเขม้า,คลองเขม้า
40,7,โคกยาง,โคกยาง
41,7,ตลิ่งชัน,ตลิ่งชัน
42,7,ปกาสัย,ปกาสัย
43,7,ห้วยยูง,ห้วยยูง
44,7,เหนือคลอง,เหนือคลอง
45,8,เขาใหญ่,เขาใหญ่
46,8,คลองยา,คลองยา
47,8,คลองหิน,คลองหิน
48,8,นาเหนือ,นาเหนือ
49,8,บ้านกลาง,บ้านกลาง
50,8,แหลมสัก,แหลมสัก
51,8,อ่าวลึกใต้,อ่าวลึกใต้
52,8,อ่าวลึกน้อย,อ่าวลึกน้อย
53,8,อ่าวลึกเหนือ,อ่าวลึกเหนือ
54,9,คลองตัน,คลองตัน
55,9,คลองเตย,คลองเตย
56,9,พระโขนง,พระโขนง
57,10,คลองต้นไทร,คลองต้นไทร
58,10,คลองสาน,คลองสาน
59,10,บางลำภูล่าง,บางลำภูล่าง
60,10,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยา
61,11,ทรายกองดิน,ทรายกองดิน
62,11,ทรายกองดินใต้,ทรายกองดินใต้
63,11,บางชัน,บางชัน
64,11,สามวาตะวันตก,สามวาตะวันตก
65,11,สามวาตะวันออก,สามวาตะวันออก
66,12,คันนายาว,คันนายาว
67,12,รามอินทรา,รามอินทรา
68,13,จตุจักร,จตุจักร
69,13,จอมพล,จอมพล
70,13,จันทรเกษม,จันทรเกษม
71,13,ลาดยาว,ลาดยาว
72,13,เสนานิคม,เสนานิคม
73,14,จอมทอง,จอมทอง
74,14,บางขุนเทียน,บางขุนเทียน
75,14,บางค้อ,บางค้อ
76,14,บางมด,บางมด
77,15,ดอนเมือง,ดอนเมือง
78,15,สนามบิน,สนามบิน
79,15,สีกัน,สีกัน
80,16,ดินแดง,ดินแดง
81,16,รัชดาภิเษก,รัชดาภิเษก
82,17,ดุสิต,ดุสิต
83,17,ถนนนครไชยศรี,ถนนนครไชยศรี
84,17,วชิรพยาบาล,วชิรพยาบาล
85,17,สวนจิตรลดา,สวนจิตรลดา
86,17,สี่แยกมหานาค,สี่แยกมหานาค
87,18,คลองชักพระ,คลองชักพระ
88,18,ฉิมพลี,ฉิมพลี
89,18,ตลิ่งชัน,ตลิ่งชัน
90,18,บางเชือกหนัง,บางเชือกหนัง
91,18,บางพรม,บางพรม
92,18,บางระมาด,บางระมาด
93,19,ทวีวัฒนา,ทวีวัฒนา
94,19,ศาลาธรรมสพน์,ศาลาธรรมสพน์
95,20,ทุ่งครุ,ทุ่งครุ
96,20,บางมด,บางมด
97,21,ดาวคะนอง,ดาวคะนอง
98,21,ตลาดพลู,ตลาดพลู
99,21,บางยี่เรือ,บางยี่เรือ
100,21,บุคคโล,บุคคโล
101,21,วัดกัลยาณ์,วัดกัลยาณ์
102,21,สำเหร่,สำเหร่
103,21,หิรัญรูจี,หิรัญรูจี
104,22,บางขุนนนท์,บางขุนนนท์
105,22,บางขุนศรี,บางขุนศรี
106,22,บ้านช่างหล่อ,บ้านช่างหล่อ
107,22,ศิริราช,ศิริราช
108,22,อรุณอมรินทร์,อรุณอมรินทร์
109,23,วัดท่าพระ,วัดท่าพระ
110,23,วัดอรุณ,วัดอรุณ
111,24,คลองจั่น,คลองจั่น
112,24,หัวหมาก,หัวหมาก
113,25,ท่าข้าม,ท่าข้าม
114,25,แสมดำ,แสมดำ
115,26,ท่าแร้ง,ท่าแร้ง
116,26,อนุสาวรีย์,อนุสาวรีย์
117,27,บางคอแหลม,บางคอแหลม
118,27,บางโคล่,บางโคล่
119,27,วัดพระยาไกร,วัดพระยาไกร
120,28,บางแค,บางแค
121,28,บางแคเหนือ,บางแคเหนือ
122,28,บางไผ่,บางไผ่
123,28,หลักสอง,หลักสอง
124,29,บางซื่อ,บางซื่อ
125,29,วงศ์สว่าง,วงศ์สว่าง
126,30,บางนาใต้,บางนาใต้
127,30,บางนาเหนือ,บางนาเหนือ
128,31,คลองบางบอน,คลองบางบอน
129,31,คลองบางพราน,คลองบางพราน
130,31,บางบอนใต้,บางบอนใต้
131,31,บางบอนเหนือ,บางบอนเหนือ
132,32,บางบำหรุ,บางบำหรุ
133,32,บางพลัด,บางพลัด
134,32,บางยี่ขัน,บางยี่ขัน
135,32,บางอ้อ,บางอ้อ
136,33,บางรัก,บางรัก
137,33,มหาพฤฒาราม,มหาพฤฒาราม
138,33,สี่พระยา,สี่พระยา
139,33,สีลม,สีลม
140,33,สุริยวงศ์,สุริยวงศ์
141,34,คลองกุ่ม,คลองกุ่ม
142,34,นวมินทร์,นวมินทร์
143,34,นวลจันทร์,นวลจันทร์
144,35,ปทุมวัน,ปทุมวัน
145,35,รองเมือง,รองเมือง
146,35,ลุมพินี,ลุมพินี
147,35,วังใหม่,วังใหม่
148,36,ดอกไม้,ดอกไม้
149,36,ประเวศ,ประเวศ
150,36,หนองบอน,หนองบอน
151,37,คลองมหานาค,คลองมหานาค
152,37,บ้านบาตร,บ้านบาตร
153,37,ป้อมปราบ,ป้อมปราบ
154,37,วัดเทพศิรินทร์,วัดเทพศิรินทร์
155,37,วัดโสมนัส,วัดโสมนัส
156,38,พญาไท,พญาไท
157,38,สามเสนใน,สามเสนใน
158,39,บางจาก,บางจาก
159,39,พระโขนงใต้,พระโขนงใต้
160,40,ชนะสงคราม,ชนะสงคราม
161,40,ตลาดยอด,ตลาดยอด
162,40,บวรนิเวศ,บวรนิเวศ
163,40,บางขุนพรหม,บางขุนพรหม
164,40,บ้านพานถม,บ้านพานถม
165,40,พระบรมมหาราชวัง,พระบรมมหาราชวัง
166,40,วังบูรพาภิรมย์,วังบูรพาภิรมย์
167,40,วัดราชบพิธ,วัดราชบพิธ
168,40,วัดสามพระยา,วัดสามพระยา
169,40,ศาลเจ้าพ่อเสือ,ศาลเจ้าพ่อเสือ
170,40,สำราญราษฎร์,สำราญราษฎร์
171,40,เสาชิงช้า,เสาชิงช้า
172,41,คลองขวาง,คลองขวาง
173,41,คูหาสวรรค์,คูหาสวรรค์
174,41,บางจาก,บางจาก
175,41,บางด้วน,บางด้วน
176,41,บางแวก,บางแวก
177,41,บางหว้า,บางหว้า
178,41,ปากคลองภาษีเจริญ,ปากคลองภาษีเจริญ
179,42,มีนบุรี,มีนบุรี
180,42,แสนแสบ,แสนแสบ
181,43,ช่องนนทรี,ช่องนนทรี
182,43,บางโพงพาง,บางโพงพาง
183,44,ถนนพญาไท,ถนนพญาไท
184,44,ถนนเพชรบุรี,ถนนเพชรบุรี
185,44,ทุ่งพญาไท,ทุ่งพญาไท
186,44,มักกะสัน,มักกะสัน
187,45,บางปะกอก,บางปะกอก
188,45,ราษฎร์บูรณะ,ราษฎร์บูรณะ
189,46,ขุมทอง,ขุมทอง
190,46,คลองสองต้นนุ่น,คลองสองต้นนุ่น
191,46,คลองสามประเวศ,คลองสามประเวศ
192,46,ทับยาว,ทับยาว
193,46,ลาดกระบัง,ลาดกระบัง
194,46,ลำปลาทิว,ลำปลาทิว
195,47,จรเข้บัว,จรเข้บัว
196,47,ลาดพร้าว,ลาดพร้าว
197,48,คลองเจ้าคุณสิงห์,คลองเจ้าคุณสิงห์
198,48,พลับพลา,พลับพลา
199,48,วังทองหลาง,วังทองหลาง
200,48,สะพานสอง,สะพานสอง
201,49,คลองตันเหนือ,คลองตันเหนือ
202,49,คลองเตยเหนือ,คลองเตยเหนือ
203,49,พระโขนงเหนือ,พระโขนงเหนือ
204,50,พัฒนาการ,พัฒนาการ
205,50,สวนหลวง,สวนหลวง
206,50,อ่อนนุช,อ่อนนุช
207,51,ทับช้าง,ทับช้าง
208,51,ราษฎร์พัฒนา,ราษฎร์พัฒนา
209,51,สะพานสูง,สะพานสูง
210,52,จักรวรรดิ,จักรวรรดิ
211,52,ตลาดน้อย,ตลาดน้อย
212,52,สัมพันธวงศ์,สัมพันธวงศ์
213,53,ทุ่งมหาเมฆ,ทุ่งมหาเมฆ
214,53,ทุ่งวัดดอน,ทุ่งวัดดอน
215,53,ยานนาวา,ยานนาวา
216,54,คลองถนน,คลองถนน
217,54,สายไหม,สายไหม
218,54,ออเงิน,ออเงิน
219,55,หนองแขม,หนองแขม
220,55,หนองค้างพลู,หนองค้างพลู
221,56,กระทุ่มราย,กระทุ่มราย
222,56,คลองสิบ,คลองสิบ
223,56,คลองสิบสอง,คลองสิบสอง
224,56,คู้ฝั่งเหนือ,คู้ฝั่งเหนือ
225,56,โคกแฝด,โคกแฝด
226,56,ลำต้อยติ่ง,ลำต้อยติ่ง
227,56,ลำผักชี,ลำผักชี
228,56,หนองจอก,หนองจอก
229,57,ตลาดบางเขน,ตลาดบางเขน
230,57,ทุ่งสองห้อง,ทุ่งสองห้อง
231,58,บางกะปิ,บางกะปิ
232,58,สามเสนนอก,สามเสนนอก
233,58,ห้วยขวาง,ห้วยขวาง
234,59,กลอนโด,กลอนโด
235,59,จรเข้เผือก,จรเข้เผือก
236,59,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย
237,59,หนองไผ่,หนองไผ่
238,60,ชะแล,ชะแล
239,60,ท่าขนุน,ท่าขนุน
240,60,ปิล๊อก,ปิล๊อก
241,60,ลิ่นถิ่น,ลิ่นถิ่น
242,60,สหกรณ์นิคม,สหกรณ์นิคม
243,60,ห้วยเขย่ง,ห้วยเขย่ง
244,60,หินดาด,หินดาด
245,61,เขาน้อย,เขาน้อย
246,61,ท่าตะคร้อ,ท่าตะคร้อ
247,61,ท่าม่วง,ท่าม่วง
248,61,ท่าล้อ,ท่าล้อ
249,61,ทุ่งทอง,ทุ่งทอง
250,61,บ้านใหม่,บ้านใหม่
251,61,พังตรุ,พังตรุ
252,61,ม่วงชุม,ม่วงชุม
253,61,รางสาลี่,รางสาลี่
254,61,วังขนาย,วังขนาย
255,61,วังศาลา,วังศาลา
256,61,หนองขาว,หนองขาว
257,61,หนองตากยา,หนองตากยา
258,62,เขาสามสิบหาบ,เขาสามสิบหาบ
259,62,โคกตะบอง,โคกตะบอง
260,62,ดอนขมิ้น,ดอนขมิ้น
261,62,ดอนชะเอม,ดอนชะเอม
262,62,ตะคร้ำเอน,ตะคร้ำเอน
263,62,ท่ามะกา,ท่ามะกา
264,62,ท่าไม้,ท่าไม้
265,62,ท่าเรือ,ท่าเรือ
266,62,ท่าเสา,ท่าเสา
267,62,พงตึก,พงตึก
268,62,พระแท่น,พระแท่น
269,62,ยางม่วง,ยางม่วง
270,62,สนามแย้,สนามแย้
271,62,แสนตอ,แสนตอ
272,62,หนองลาน,หนองลาน
273,62,หวายเหนียว,หวายเหนียว
274,62,อุโลกสี่หมื่น,อุโลกสี่หมื่น
275,63,ท่าเสา,ท่าเสา
276,63,ไทรโยค,ไทรโยค
277,63,บ้องตี้,บ้องตี้
