id	districtId	name	nameEn	slug
1	1	เกาะกลาง	Ko Klang	ko-klang
2	1	เกาะลันตาน้อย	Ko Lanta Noi	ko-lanta-noi
3	1	เกาะลันตาใหญ่	Ko Lanta Yai	ko-lanta-yai
4	1	คลองยาง	Khlong Yang	khlong-yang
5	1	ศาลาด่าน	Sala Dan	sala-dan
6	2	เขาดิน	Khao Din	khao-din
7	2	เขาพนม	Khao Phanom	khao-phanom
8	2	โคกหาร	Khok Han	khok-han
9	2	พรุเตียว	Phru Tiao	phru-tiao
10	2	สินปุน	Sin Pun	sin-pun
11	2	หน้าเขา	Na Khao	na-khao
12	3	คลองท่อมใต้	Khlong Thom Tai	khlong-thom-tai
13	3	คลองท่อมเหนือ	Khlong Thom Nuea	khlong-thom-nuea
14	3	คลองพน	Khlong Phon	khlong-phon
15	3	ทรายขาว	Sai Khao	sai-khao
16	3	พรุดินนา	Phru Din Na	phru-din-na
17	3	เพหลา	Phela	phela
18	3	ห้วยน้ำขาว	Huai Nam Khao	huai-nam-khao
19	4	เขาเขน	Khao Khen	khao-khen
20	4	เขาต่อ	Khao To	khao-to
21	4	คีรีวง	Khiri Wong	khiri-wong
22	4	ปลายพระยา	Plai Phraya	plai-phraya
23	5	กระบี่น้อย	Krabi Noi	krabi-noi
24	5	กระบี่ใหญ่	Krabi Yai	krabi-yai
25	5	เขาคราม	Khao Khram	khao-khram
26	5	เขาทอง	Khao Thong	khao-thong
27	5	คลองประสงค์	Khlong Prasong	khlong-prasong
28	5	ทับปริก	Thap Prik	thap-prik
29	5	ปากน้ำ	Pak Nam	pak-nam
30	5	ไสไทย	Sai Thai	sai-thai
31	5	หนองทะเล	Nong Thale	nong-thale
32	5	อ่าวนาง	Ao Nang	ao-nang
33	6	ดินแดง	Din Daeng	din-daeng
34	6	ดินอุดม	Din Udom	din-udom
35	6	ทุ่งไทรทอง	Thung Sai Thong	thung-sai-thong
36	6	ลำทับ	Lam Thap	lam-thap
37	7	เกาะศรีบอยา	Ko Siboya	ko-siboya
38	7	คลองขนาน	Khlong Khanan	khlong-khanan
39	7	คลองเขม้า	Khlong Khamao	khlong-khamao
40	7	โคกยาง	Khok Yang	khok-yang
41	7	ตลิ่งชัน	Taling Chan	taling-chan
42	7	ปกาสัย	Pakasai	pakasai
43	7	ห้วยยูง	Huai Yung	huai-yung
44	7	เหนือคลอง	Nuea Khlong	nuea-khlong
45	8	เขาใหญ่	Khao Yai	khao-yai
46	8	คลองยา	Khlong Ya	khlong-ya
47	8	คลองหิน	Khlong Hin	khlong-hin
48	8	นาเหนือ	Na Nuea	na-nuea
49	8	บ้านกลาง	Ban Klang	ban-klang
50	8	แหลมสัก	Laem Sak	laem-sak
51	8	อ่าวลึกใต้	Ao Luek Tai	ao-luek-tai
52	8	อ่าวลึกน้อย	Ao Luek Noi	ao-luek-noi
53	8	อ่าวลึกเหนือ	Ao Luek Nuea	ao-luek-nuea
54	9	คลองตัน	Khlong Tan	khlong-tan
55	9	คลองเตย	Khlong Toei	khlong-toei
56	9	พระโขนง	Phra Khanong	phra-khanong
57	10	คลองต้นไทร	Khlong Ton Sai	khlong-ton-sai
58	10	คลองสาน	Khlong San	khlong-san
59	10	บางลำภูล่าง	Bang Lamphu Lang	bang-lamphu-lang
60	10	สมเด็จเจ้าพระยา	Somdet Chao Phraya	somdet-chao-phraya
61	11	ทรายกองดิน	Sai Kong Din	sai-kong-din
62	11	ทรายกองดินใต้	Sai Kong Din Tai	sai-kong-din-tai
63	11	บางชัน	Bang Chan	bang-chan
64	11	สามวาตะวันตก	Sam Wa Tawan Tok	sam-wa-tawan-tok
65	11	สามวาตะวันออก	Sam Wa Tawan Ok	sam-wa-tawan-ok
66	12	คันนายาว	Khan Na Yao	khan-na-yao
67	12	รามอินทรา	Ram Inthra	ram-inthra
68	13	จตุจักร	Chatuchak	chatuchak
69	13	จอมพล	Chom Phon	chom-phon
70	13	จันทรเกษม	Chan Kasem	chan-kasem
71	13	ลาดยาว	Lat Yao	lat-yao
72	13	เสนานิคม	Sena Nikhom	sena-nikhom
73	14	จอมทอง	Chom Thong	chom-thong
74	14	บางขุนเทียน	Bang Khun Thian	bang-khun-thian
75	14	บางค้อ	Bang Kho	bang-kho
76	14	บางมด	Bang Mot	bang-mot
77	15	ดอนเมือง	Don Mueang	don-mueang
78	15	สนามบิน	Sanam Bin	sanam-bin
79	15	สีกัน	Si Kan	si-kan
80	16	ดินแดง	Din Daeng	din-daeng
81	16	รัชดาภิเษก	Ratchadaphisek	ratchadaphisek
82	17	ดุสิต	Dusit	dusit
83	17	ถนนนครไชยศรี	Thanon Nakhon Chai Si	thanon-nakhon-chai-si
84	17	วชิรพยาบาล	Wachira Phayaban	wachira-phayaban
85	17	สวนจิตรลดา	Suan Chitlada	suan-chitlada
86	17	สี่แยกมหานาค	Si Yaek Mahanak	si-yaek-mahanak
87	18	คลองชักพระ	Khlong Chak Phra	khlong-chak-phra
88	18	ฉิมพลี	Chimphli	chimphli
89	18	ตลิ่งชัน	Taling Chan	taling-chan
90	18	บางเชือกหนัง	Bang Chueak Nang	bang-chueak-nang
91	18	บางพรม	Bang Phrom	bang-phrom
92	18	บางระมาด	Bang Ramat	bang-ramat
93	19	ทวีวัฒนา	Thawi Watthana	thawi-watthana
94	19	ศาลาธรรมสพน์	Sala Thammasop	sala-thammasop
95	20	ทุ่งครุ	Thung Khru	thung-khru
96	20	บางมด	Bang Mot	bang-mot
97	21	ดาวคะนอง	Dao Khanong	dao-khanong
98	21	ตลาดพลู	Talat Phlu	talat-phlu
99	21	บางยี่เรือ	Bang Yi Ruea	bang-yi-ruea
100	21	บุคคโล	Bukkhalo	bukkhalo
