id,province,provinceEn,district,districtEn,subdistrict,subdistrictEn,postalCode,provinceSlug,districtSlug,subdistrictSlug
1,กระบี่,Krabi,เกาะลันตา,Ko Lanta,เกาะกลาง,Ko Klang,81120,krabi,ko-lanta,ko-klang
2,กระบี่,Krabi,เกาะลันตา,Ko Lanta,เกาะลันตาน้อย,Ko Lanta Noi,81150,krabi,ko-lanta,ko-lanta-noi
3,กระบี่,Krabi,เกาะลันตา,Ko Lanta,เกาะลันตาใหญ่,Ko Lanta Yai,81150,krabi,ko-lanta,ko-lanta-yai
4,กระบี่,Krabi,เกาะลันตา,Ko Lanta,คลองยาง,Khlong Yang,81120,krabi,ko-lanta,khlong-yang
5,กระบี่,Krabi,เกาะลันตา,Ko Lanta,ศาลาด่าน,Sala Dan,81150,krabi,ko-lanta,sala-dan
6,กระบี่,Krabi,เขาพนม,Khao Phanom,เขาดิน,Khao Din,81140,krabi,khao-phanom,khao-din
7,กระบี่,Krabi,เขาพนม,Khao Phanom,เขาพนม,Khao Phanom,81140,krabi,khao-phanom,khao-phanom
8,กระบี่,Krabi,เขาพนม,Khao Phanom,โคกหาร,Khok Han,80240,krabi,khao-phanom,khok-han
9,กระบี่,Krabi,เขาพนม,Khao Phanom,พรุเตียว,Phru Tiao,81140,krabi,khao-phanom,phru-tiao
10,กระบี่,Krabi,เขาพนม,Khao Phanom,สินปุน,Sin Pun,80240,krabi,khao-phanom,sin-pun
11,กระบี่,Krabi,เขาพนม,Khao Phanom,หน้าเขา,Na Khao,81140,krabi,khao-phanom,na-khao
12,กระบี่,Krabi,คลองท่อม,Khlong Thom,คลองท่อมใต้,Khlong Thom Tai,81120,krabi,khlong-thom,khlong-thom-tai
13,กระบี่,Krabi,คลองท่อม,Khlong Thom,คลองท่อมเหนือ,Khlong Thom Nuea,81120,krabi,khlong-thom,khlong-thom-nuea
14,กระบี่,Krabi,คลองท่อม,Khlong Thom,คลองพน,Khlong Phon,81170,krabi,khlong-thom,khlong-phon
15,กระบี่,Krabi,คลองท่อม,Khlong Thom,ทรายขาว,Sai Khao,81170,krabi,khlong-thom,sai-khao
16,กระบี่,Krabi,คลองท่อม,Khlong Thom,พรุดินนา,Phru Din Na,81120,krabi,khlong-thom,phru-din-na
17,กระบี่,Krabi,คลองท่อม,Khlong Thom,เพหลา,Phela,81120,krabi,khlong-thom,phela
18,กระบี่,Krabi,คลองท่อม,Khlong Thom,ห้วยน้ำขาว,Huai Nam Khao,81120,krabi,khlong-thom,huai-nam-khao
19,กระบี่,Krabi,ปลายพระยา,Plai Phraya,เขาเขน,Khao Khen,81160,krabi,plai-phraya,khao-khen
20,กระบี่,Krabi,ปลายพระยา,Plai Phraya,เขาต่อ,Khao To,81160,krabi,plai-phraya,khao-to
21,กระบี่,Krabi,ปลายพระยา,Plai Phraya,คีรีวง,Khiri Wong,81160,krabi,plai-phraya,khiri-wong
22,กระบี่,Krabi,ปลายพระยา,Plai Phraya,ปลายพระยา,Plai Phraya,81160,krabi,plai-phraya,plai-phraya
23,กระบี่,Krabi,เมืองกระบี่,Mueang Krabi,กระบี่น้อย,Krabi Noi,81000,krabi,mueang-krabi,krabi-noi
24,กระบี่,Krabi,เมืองกระบี่,Mueang Krabi,กระบี่ใหญ่,Krabi Yai,81000,krabi,mueang-krabi,krabi-yai
25,กระบี่,Krabi,เมืองกระบี่,Mueang Krabi,เขาคราม,Khao Khram,81000,krabi,mueang-krabi,khao-khram
